palavra,frequencia
não,50203
história,14913
está,12619
você,12345
vídeo,10921
são,9228
pessoas,7832
gente,7727
mensagem,7670
ser,7494
site,7437
whatsapp,7374
brasil,7374
também,7344
internet,7328
aqui,7184
covid,7043
teria,6855
redes,6287
bolsonaro,6128
sociais,6125
texto,6085
contra,5866
informação,5779
até,5516
além,5391
disso,5377
falsa,5169
contato,5158
artigo,5096
facebook,5035
presidente,4962
tema,4961
pode,4958
quiser,4703
caso,4664
sugerir,4534
leitores,4522
estão,4504
sugestão,4502
versão,4484
acordo,4448
qualquer,4398
nada,4348
lula,4274
seja,4270
aponta,4262
após,4246
vacina,4237
saúde,4172
